Date,Price,Open,High,Low,Volume,Change %
Mar 12 2020, 1580.70, 1642.90, 1650.00, 1574.45, -, -3.75%
Mar 11 2020, 1642.30, 1649.30, 1671.80, 1632.40, 404.35K, -1.08%
Mar 10 2020, 1660.30, 1679.60, 1681.30, 1641.10, 385.48K, -0.92%
Mar 09 2020, 1675.70, 1692.60, 1704.30, 1658.00, 504.16K, 0.20%
Mar 06 2020, 1672.40, 1673.10, 1692.80, 1642.40, 659.63K, 0.26%
Mar 05 2020, 1668.00, 1638.20, 1675.50, 1635.60, 363.00K, 1.52%
Mar 04 2020, 1643.00, 1640.10, 1654.30, 1632.60, 313.34K, -0.09%
Mar 03 2020, 1644.40, 1586.00, 1650.50, 1585.90, 466.53K, 3.11%
Mar 02 2020, 1594.80, 1592.80, 1612.10, 1576.30, 443.53K, 1.79%
Feb 28 2020, 1566.70, 1646.10, 1651.00, 1564.00, 745.84K, -4.61%
Feb 27 2020, 1642.50, 1643.00, 1662.50, 1636.70, 573.29K, -0.04%
Feb 26 2020, 1643.10, 1637.30, 1657.10, 1626.60, 531.90K, -0.42%
Feb 25 2020, 1650.00, 1661.80, 1666.70, 1627.00, 672.76K, -1.59%
Feb 24 2020, 1676.60, 1656.00, 1691.70, 1652.80, 680.82K, 1.69%
Feb 21 2020, 1648.80, 1623.60, 1652.10, 1621.60, 489.19K, 1.75%
Feb 20 2020, 1620.50, 1615.00, 1626.50, 1606.60, 403.04K, 0.54%
Feb 19 2020, 1611.80, 1604.80, 1615.90, 1602.40, 307.89K, 0.51%
Feb 18 2020, 1603.60, 1585.10, 1608.20, 1581.80, 414.24K, 1.04%
Feb 17 2020, 1587.05, 1586.15, 1588.45, 1581.85, -, 0.05%
Feb 16 2020, 1586.25, 1585.50, 1586.25, 1583.45, -, -0.01%
Feb 14 2020, 1586.40, 1579.00, 1588.20, 1576.00, 227.11K, 0.48%
Feb 13 2020, 1578.80, 1569.80, 1581.70, 1568.50, 276.25K, 0.46%
Feb 12 2020, 1571.60, 1571.20, 1573.60, 1564.40, 189.55K, 0.10%
Feb 11 2020, 1570.10, 1575.50, 1577.50, 1565.20, 231.83K, -0.60%
Feb 10 2020, 1579.50, 1575.80, 1580.50, 1571.50, 191.75K, 0.39%
Feb 07 2020, 1573.40, 1570.70, 1577.80, 1563.50, 286.42K, 0.22%
Feb 06 2020, 1570.00, 1560.00, 1571.90, 1556.00, 229.00K, 0.46%
Feb 05 2020, 1562.80, 1556.10, 1566.20, 1551.10, 306.05K, 0.47%
Feb 04 2020, 1555.50, 1581.50, 1584.50, 1552.80, 349.00K, -1.70%
Feb 03 2020, 1582.40, 1597.80, 1598.50, 1573.20, 320.60K, -0.35%
